2018-12-06 16:43:23,660 INFO Episode 1	Last reward: -80.07813489114601	Average reward -109.87
2018-12-06 16:43:29,754 INFO Episode 2	Last reward: -99.44663713856357	Average reward -98.53
2018-12-06 16:43:35,197 INFO Episode 3	Last reward: -77.58605260693855	Average reward -86.78
2018-12-06 16:43:41,041 INFO Episode 4	Last reward: -61.56425955175281	Average reward -77.72
2018-12-06 16:43:46,145 INFO Episode 5	Last reward: -72.02121140130254	Average reward -70.93
2018-12-06 16:43:51,596 INFO Episode 6	Last reward: -67.25786562179461	Average reward -62.98
2018-12-06 16:43:56,682 INFO Episode 7	Last reward: -55.49954202318104	Average reward -56.96
2018-12-06 16:44:02,161 INFO Episode 8	Last reward: -48.50391090945703	Average reward -51.41
2018-12-06 16:44:07,254 INFO Episode 9	Last reward: -43.320228716094874	Average reward -46.30
2018-12-06 16:44:13,287 INFO Episode 10	Last reward: -45.90634143448296	Average reward -42.43
2018-12-06 16:44:18,626 INFO Episode 11	Last reward: -39.63275886804856	Average reward -38.53
2018-12-06 16:44:23,952 INFO Episode 12	Last reward: -39.46136936400502	Average reward -35.72
2018-12-06 16:44:29,338 INFO Episode 13	Last reward: -33.65789583073816	Average reward -32.22
2018-12-06 16:44:34,381 INFO Episode 14	Last reward: -28.46445937554294	Average reward -30.04
2018-12-06 16:44:39,667 INFO Episode 15	Last reward: -27.170196071182648	Average reward -27.49
2018-12-06 16:44:44,814 INFO Episode 16	Last reward: -25.08758655946953	Average reward -25.10
2018-12-06 16:44:49,864 INFO Episode 17	Last reward: -22.01419530809213	Average reward -23.53
2018-12-06 16:44:56,081 INFO Episode 18	Last reward: -16.82326176062554	Average reward -22.22
2018-12-06 16:45:01,276 INFO Episode 19	Last reward: -19.56789640337884	Average reward -20.78
2018-12-06 16:45:06,986 INFO Episode 20	Last reward: -15.063352788243861	Average reward -19.80
2018-12-06 16:45:13,665 INFO Episode 21	Last reward: -21.02503046793913	Average reward -18.61
2018-12-06 16:45:20,772 INFO Episode 22	Last reward: -17.795026568320473	Average reward -17.33
2018-12-06 16:45:27,442 INFO Episode 23	Last reward: -12.417863394278285	Average reward -16.72
2018-12-06 16:45:32,559 INFO Episode 24	Last reward: -16.84462786014623	Average reward -15.87
2018-12-06 16:45:38,335 INFO Episode 25	Last reward: -13.431599316099568	Average reward -14.91
2018-12-06 16:45:43,562 INFO Episode 26	Last reward: -13.47048055720891	Average reward -14.11
2018-12-06 16:45:48,663 INFO Episode 27	Last reward: -13.572657564547523	Average reward -13.75
2018-12-06 16:45:53,948 INFO Episode 28	Last reward: -10.258339909483254	Average reward -12.92
2018-12-06 16:45:59,360 INFO Episode 29	Last reward: -11.72902938859853	Average reward -12.23
2018-12-06 16:46:04,493 INFO Episode 30	Last reward: -11.602275093841605	Average reward -11.57
2018-12-06 16:46:09,817 INFO Episode 31	Last reward: -14.824849646496975	Average reward -11.69
2018-12-06 16:46:15,092 INFO Episode 32	Last reward: -7.70282871834105	Average reward -11.19
