2018-12-06 11:11:08,406 INFO Episode 1	Last reward: 4.269099131557872	Average reward 11.09
2018-12-06 11:11:08,408 DEBUG backend agg version v2.2
2018-12-06 11:11:08,466 DEBUG findfont: Matching :family=sans-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0 to Liberation Sans ('/usr/share/fonts/truetype/liberation/LiberationSans-Regular.ttf') with score of 2.050000
2018-12-06 11:11:13,730 INFO Episode 2	Last reward: 7.726090166108184	Average reward 10.46
2018-12-06 11:11:18,919 INFO Episode 3	Last reward: 6.848806120072261	Average reward 12.35
2018-12-06 11:11:23,857 INFO Episode 4	Last reward: 12.588237231926147	Average reward 12.05
2018-12-06 11:11:29,013 INFO Episode 5	Last reward: 9.84747712318687	Average reward 9.60
2018-12-06 11:11:34,083 INFO Episode 6	Last reward: 2.486410548146872	Average reward 9.09
2018-12-06 11:11:38,710 INFO Episode 7	Last reward: 5.5449538076450775	Average reward 7.01
2018-12-06 11:11:43,737 INFO Episode 8	Last reward: 4.510048986002876	Average reward 7.64
2018-12-06 11:11:48,531 INFO Episode 9	Last reward: 27.958622073167493	Average reward 11.02
2018-12-06 11:11:53,409 INFO Episode 10	Last reward: 6.228952752029851	Average reward 11.04
2018-12-06 11:11:58,217 INFO Episode 11	Last reward: 13.423692291537884	Average reward 10.88
2018-12-06 11:12:04,611 INFO Episode 12	Last reward: 7.325761565641949	Average reward 7.22
2018-12-06 11:12:09,096 INFO Episode 13	Last reward: 3.363983630324388	Average reward 8.15
2018-12-06 11:12:13,855 INFO Episode 14	Last reward: 5.88872458825532	Average reward 5.83
2018-12-06 11:12:18,756 INFO Episode 15	Last reward: 7.167761110404587	Average reward 7.06
2018-12-06 11:12:23,476 INFO Episode 16	Last reward: 2.6859652393652356	Average reward 5.60
2018-12-06 11:12:28,404 INFO Episode 17	Last reward: 5.004446874757322	Average reward 5.37
2018-12-06 11:12:33,190 INFO Episode 18	Last reward: 5.243319864689896	Average reward 5.02
2018-12-06 11:12:38,005 INFO Episode 19	Last reward: 3.290166342978819	Average reward 4.78
2018-12-06 11:12:43,002 INFO Episode 20	Last reward: -0.9443248164494735	Average reward 4.82
2018-12-06 11:12:47,777 INFO Episode 21	Last reward: 4.9547117611937885	Average reward 4.91
2018-12-06 11:12:52,716 INFO Episode 22	Last reward: -0.6195862601047741	Average reward 4.94
2018-12-06 11:12:57,465 INFO Episode 23	Last reward: 2.902046422635561	Average reward 4.84
2018-12-06 11:13:01,979 INFO Episode 24	Last reward: 3.4208009295330006	Average reward 4.82
2018-12-06 11:13:06,867 INFO Episode 25	Last reward: -0.6718216443565103	Average reward 4.25
2018-12-06 11:13:12,533 INFO Episode 26	Last reward: 3.159548847045283	Average reward 4.77
2018-12-06 11:13:17,155 INFO Episode 27	Last reward: 2.4406422379945694	Average reward 4.97
2018-12-06 11:13:21,413 INFO Episode 28	Last reward: 2.9235333299367583	Average reward 4.68
2018-12-06 11:13:27,368 INFO Episode 29	Last reward: 4.761929213738728	Average reward 4.73
2018-12-06 11:13:32,789 INFO Episode 30	Last reward: -0.6349258797625408	Average reward 4.38
2018-12-06 11:13:39,234 INFO Episode 31	Last reward: 5.3146848162406055	Average reward 5.47
2018-12-06 11:13:44,097 INFO Episode 32	Last reward: 3.3505915226784166	Average reward 6.80
2018-12-06 11:13:49,638 INFO Episode 33	Last reward: 5.672095623873529	Average reward 6.87
